https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VET,Volume USDT,tradecount
1628640000000,2021-08-11 00:00:00,VET/USDT,0.10637000,0.10750000,0.10601000,0.10747000,14290934.70000000,1525205.68610700,2341
1628553600000,2021-08-10 00:00:00,VET/USDT,0.10574000,0.10845000,0.10243000,0.10633000,846210731.90000000,89286416.18534100,167941
1628467200000,2021-08-09 00:00:00,VET/USDT,0.10125000,0.10780000,0.09700000,0.10574000,1115257010.20000000,115350138.04208100,202971
1628380800000,2021-08-08 00:00:00,VET/USDT,0.10360000,0.11069000,0.09854000,0.10130000,1214018929.30000000,127016615.63922800,249982
1628294400000,2021-08-07 00:00:00,VET/USDT,0.09664000,0.10886000,0.09514000,0.10371000,1655607717.90000000,171158226.33321100,367677
1628208000000,2021-08-06 00:00:00,VET/USDT,0.09085000,0.09760000,0.08935000,0.09665000,910015916.40000000,85337663.43641300,184756
1628121600000,2021-08-05 00:00:00,VET/USDT,0.08835000,0.09200000,0.08519000,0.09082000,780437003.70000000,69338571.06391900,142842
1628035200000,2021-08-04 00:00:00,VET/USDT,0.08544000,0.09039000,0.08385000,0.08841000,663535631.20000000,57818418.24346700,120182
1627948800000,2021-08-03 00:00:00,VET/USDT,0.08606000,0.08727000,0.08223000,0.08540000,603351695.70000000,50959464.71993900,99872
1627862400000,2021-08-02 00:00:00,VET/USDT,0.08574000,0.08898000,0.08400000,0.08606000,675123471.20000000,58310138.54460200,112594
1627776000000,2021-08-01 00:00:00,VET/USDT,0.08963000,0.09300000,0.08517000,0.08574000,928339477.90000000,83202545.60563100,169721
1627689600000,2021-07-31 00:00:00,VET/USDT,0.08596000,0.09038000,0.08445000,0.08962000,915201259.60000000,80311797.28326400,160187
1627603200000,2021-07-30 00:00:00,VET/USDT,0.08267000,0.08600000,0.08003000,0.08596000,811964038.80000000,67517793.82619400,140458
1627516800000,2021-07-29 00:00:00,VET/USDT,0.08280000,0.08395000,0.08066000,0.08266000,539258500.60000000,44272919.43180400,92918
1627430400000,2021-07-28 00:00:00,VET/USDT,0.08393000,0.08631000,0.08034000,0.08283000,1081703275.40000000,89952773.67620400,162787
1627344000000,2021-07-27 00:00:00,VET/USDT,0.07759000,0.08750000,0.07468000,0.08396000,1569354217.80000000,127289017.88124900,256412
1627257600000,2021-07-26 00:00:00,VET/USDT,0.07439000,0.08982000,0.07367000,0.07754000,2583820456.10000000,214224910.96364700,475181
1627171200000,2021-07-25 00:00:00,VET/USDT,0.07221000,0.07440000,0.06930000,0.07438000,611924366.90000000,43762608.26166300,97261
1627084800000,2021-07-24 00:00:00,VET/USDT,0.07100000,0.07343000,0.06963000,0.07219000,740146961.80000000,53037417.61553900,118026
1626998400000,2021-07-23 00:00:00,VET/USDT,0.06777000,0.07103000,0.06414000,0.07099000,795338860.20000000,53471150.26705400,105424
1626912000000,2021-07-22 00:00:00,VET/USDT,0.06605000,0.06900000,0.06409000,0.06777000,878820265.00000000,58784832.41094400,122232
1626825600000,2021-07-21 00:00:00,VET/USDT,0.05776000,0.06833000,0.05598000,0.06605000,1520542309.50000000,96776369.30569700,180182
1626739200000,2021-07-20 00:00:00,VET/USDT,0.06180000,0.06285000,0.05603000,0.05773000,1066995893.80000000,62297809.42125500,125000
1626652800000,2021-07-19 00:00:00,VET/USDT,0.06758000,0.06773000,0.06147000,0.06180000,706226626.30000000,45293574.48588600,86605
1626566400000,2021-07-18 00:00:00,VET/USDT,0.06550000,0.06886000,0.06494000,0.06755000,633980705.80000000,42559148.45336700,77463
1626480000000,2021-07-17 00:00:00,VET/USDT,0.06523000,0.06659000,0.06342000,0.06550000,599977171.40000000,38912284.50829700,71698
1626393600000,2021-07-16 00:00:00,VET/USDT,0.06899000,0.07049000,0.06501000,0.06521000,724702951.40000000,48877718.38028900,92739
1626307200000,2021-07-15 00:00:00,VET/USDT,0.07256000,0.07396000,0.06760000,0.06904000,689990562.20000000,48304818.65666100,88072
1626220800000,2021-07-14 00:00:00,VET/USDT,0.07297000,0.07370000,0.06839000,0.07256000,719807940.10000000,51256896.69930700,100291
1626134400000,2021-07-13 00:00:00,VET/USDT,0.07495000,0.07573000,0.07158000,0.07294000,522685098.10000000,38478070.07328000,77191
1626048000000,2021-07-12 00:00:00,VET/USDT,0.07768000,0.07901000,0.07378000,0.07495000,485047192.50000000,36931872.51355300,69706
1625961600000,2021-07-11 00:00:00,VET/USDT,0.07599000,0.07910000,0.07493000,0.07768000,396751737.10000000,30630314.67269300,61815
1625875200000,2021-07-10 00:00:00,VET/USDT,0.07701000,0.07879000,0.07450000,0.07597000,513741559.50000000,39320067.29293500,76111
1625788800000,2021-07-09 00:00:00,VET/USDT,0.07605000,0.07824000,0.07233000,0.07703000,817633056.00000000,61678141.22666200,114938
1625702400000,2021-07-08 00:00:00,VET/USDT,0.08337000,0.08366000,0.07511000,0.07607000,1013992503.70000000,79388307.51911100,149284
1625616000000,2021-07-07 00:00:00,VET/USDT,0.08446000,0.08611000,0.08320000,0.08340000,635110376.10000000,53901103.78338200,103477
1625529600000,2021-07-06 00:00:00,VET/USDT,0.08345000,0.08715000,0.08294000,0.08446000,796252433.90000000,67492823.08103500,112722
1625443200000,2021-07-05 00:00:00,VET/USDT,0.08780000,0.08786000,0.08131000,0.08342000,1009140828.90000000,85372039.04482400,141525
1625356800000,2021-07-04 00:00:00,VET/USDT,0.08732000,0.09006000,0.08484000,0.08778000,857726403.20000000,75209579.12221100,141569
1625270400000,2021-07-03 00:00:00,VET/USDT,0.08656000,0.09023000,0.08423000,0.08736000,913099649.70000000,79826079.66802500,126724
1625184000000,2021-07-02 00:00:00,VET/USDT,0.08425000,0.08770000,0.08198000,0.08655000,1133495193.30000000,95875904.71904200,145898
1625097600000,2021-07-01 00:00:00,VET/USDT,0.09133000,0.09133000,0.08248000,0.08424000,1227504580.60000000,105005493.22436200,171849
1625011200000,2021-06-30 00:00:00,VET/USDT,0.09001000,0.09442000,0.08172000,0.09134000,1738170586.10000000,151979277.24991100,260859
1624924800000,2021-06-29 00:00:00,VET/USDT,0.07943000,0.09504000,0.07895000,0.09008000,1890978743.20000000,167047921.70667600,294274
1624838400000,2021-06-28 00:00:00,VET/USDT,0.07805000,0.08184000,0.07568000,0.07942000,957312777.10000000,75284655.87773200,137448
1624752000000,2021-06-27 00:00:00,VET/USDT,0.07399000,0.07842000,0.07130000,0.07806000,889825732.40000000,65676922.67933200,116806
1624665600000,2021-06-26 00:00:00,VET/USDT,0.07207000,0.07591000,0.06900000,0.07400000,1401930984.10000000,101230683.28599400,165050
1624579200000,2021-06-25 00:00:00,VET/USDT,0.08074000,0.08323000,0.07116000,0.07209000,1780897549.90000000,136220194.52027100,225512
1624492800000,2021-06-24 00:00:00,VET/USDT,0.07614000,0.08327000,0.07224000,0.08077000,1758052234.10000000,137140319.81531200,212575
1624406400000,2021-06-23 00:00:00,VET/USDT,0.07172000,0.08447000,0.06793000,0.07614000,3150782283.60000000,243331641.91751500,387009
1624320000000,2021-06-22 00:00:00,VET/USDT,0.07330000,0.08108000,0.05955000,0.07176000,4714450003.80000000,334648427.94746600,519937
1624233600000,2021-06-21 00:00:00,VET/USDT,0.09837000,0.09881000,0.07301000,0.07332000,2223182586.90000000,187175666.52787700,309221
1624147200000,2021-06-20 00:00:00,VET/USDT,0.09641000,0.10077000,0.08816000,0.09840000,1031915885.30000000,97344701.58301500,153923
1624060800000,2021-06-19 00:00:00,VET/USDT,0.09957000,0.10204000,0.09636000,0.09639000,656262172.90000000,65359866.98976200,94495
1623974400000,2021-06-18 00:00:00,VET/USDT,0.10731000,0.10759000,0.09613000,0.09957000,853017181.90000000,86341064.11303900,131933
1623888000000,2021-06-17 00:00:00,VET/USDT,0.10752000,0.11150000,0.10488000,0.10726000,599751647.10000000,64958281.79223700,97010
1623801600000,2021-06-16 00:00:00,VET/USDT,0.11134000,0.11445000,0.10567000,0.10752000,884683659.80000000,96526107.68583300,142446
1623715200000,2021-06-15 00:00:00,VET/USDT,0.11328000,0.11552000,0.11000000,0.11135000,990084203.20000000,111689133.91670000,155771
1623628800000,2021-06-14 00:00:00,VET/USDT,0.11244000,0.11654000,0.10827000,0.11334000,1353761539.00000000,151781939.71417000,220147
1623542400000,2021-06-13 00:00:00,VET/USDT,0.10624000,0.11550000,0.09985000,0.11244000,1479262301.40000000,157920618.98129200,232253
1623456000000,2021-06-12 00:00:00,VET/USDT,0.10482000,0.10792000,0.09654000,0.10624000,1862749647.60000000,190292268.13099800,259701
1623369600000,2021-06-11 00:00:00,VET/USDT,0.11205000,0.11467000,0.10341000,0.10482000,1752724258.30000000,193348418.79102900,252204
1623283200000,2021-06-10 00:00:00,VET/USDT,0.11998000,0.12267000,0.10892000,0.11204000,2033141517.50000000,234558949.79188800,301091
1623196800000,2021-06-09 00:00:00,VET/USDT,0.11287000,0.12000000,0.10557000,0.11996000,2757252229.90000000,312395653.98918000,381119
